id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_verifications_phone,host_verifications_offline_government_id,host_verifications_identity_manual,host_verifications_reviews,host_verifications_email,host_verifications_selfie,host_verifications_jumio,host_verifications_government_id,amenities_Coffee_maker,amenities_Free_street_parking,amenities_Extra_pillows_and_blankets,amenities_Washer,amenities_Shampoo,amenities_Dryer,amenities_Hot_water,amenities_Kitchen,amenities_Carbon_monoxide_alarm,amenities_Air_conditioning,amenities_Dedicated_workspace,amenities_Wifi,amenities_First_aid_kit,amenities_Microwave,amenities_Bathtub,amenities_TV,amenities_Essentials,amenities_Free_parking_on_premises,amenities_Cooking_basics,amenities_Private_entrance,amenities_Hair_dryer,amenities_Oven,amenities_Dishes_and_silverware,amenities_Smoke_alarm,amenities_Refrigerator,amenities_Iron,amenities_Heating,amenities_Long_term_stays_allowed,amenities_Bed_linens,amenities_Stove,amenities_Dishwasher,amenities_Hangers,amenities_Fire_extinguisher,bathrooms_type,distance_to_CBD,host_in_same_neighbourhood,host_year,description_words_count,occu_rate_oct,occu_rate_nov,occu_rate_dec,occu_rate_jan,occu_rate_feb,occu_rate_mar,occu_rate_apr,occu_rate_may,occu_rate_jun,occu_rate_jul,occu_rate_aug,occu_rate_sep,Q1,Q2,Q3,Q4
67940,335208,None,0,0,0,0,0,Near South Side,Entire condominium (condo),Entire home/apt,4,1,1,2,79,2,90,2,2,1125,1125,2,1125,0,9,16,29,253,2021/10/19,38,22,6,30_days,4.81,4.7,4.68,4.86,4.97,4.68,4.68,1,1,1,0,0,0.31,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,private,3.6532,0,10,1000,0.451612903,0.633333333,0.580645161,0.35483871,0,0.580645161,0.166666667,0.322580645,0,0.064516129,0.290322581,0.2,0.555197133,0.311827957,0.163082437,0.184946237
71930,334241,within an hour,1,0.95,0,2,0,West Town,Private room in rental unit,Private room,2,1,1,1,60,2,90,2,2,90,90,2,90,0,6,36,66,341,2021/10/18,80,10,1,30_days,4.83,4.9,4.66,4.94,4.91,4.77,4.75,1,2,0,2,0,1.49,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,shared,3.4106,0,10,1000,0.451612903,0.333333333,0,0,0,0,0,0,0,0,0,0,0.261648746,0,0,0
84042,334241,within an hour,1,0.95,0,2,0,West Town,Private room in rental unit,Private room,2,1,1,1,54,2,90,2,2,1125,1125,2,1125,0,1,31,61,336,2021/10/18,92,13,2,30_days,4.92,4.88,4.69,4.97,4.98,4.87,4.9,1,2,0,2,0,1.73,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,shared,3.4106,0,10,1000,0.451612903,0.5,0,0,0,0,0,0,0,0,0,0,0.317204301,0,0,0
126280,626517,None,0,0,0,1,0,Uptown,Private room in rental unit,Private room,1,1,1,1,35,3,365,3,3,1125,1125,3,1125,0,0,0,15,195,2021/10/18,162,0,0,30_days,4.87,4.89,4.57,4.9,4.92,4.62,4.84,1,1,0,1,0,3.7,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,shared,10.1216,1,10,1000,1,1,1,0,0,0,0,0,0,0.548387097,1,1,1,0,0,0.849462366
145659,683529,within an hour,0.95,0.96,0,21,0,North Center,Entire rental unit,Entire home/apt,8,1,3,3,217,2,1125,2,4,1125,1125,2,1125,0,27,52,82,357,2021/10/19,43,10,1,30_days,4.72,4.67,4.95,4.69,4.49,4.81,4.74,1,23,23,0,0,0.59,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,private,7.7622,0,10,1000,0.096774194,0.166666667,0,0,0,0,0,0,0,0,0,0,0.08781362,0,0,0
145690,683529,within an hour,0.95,0.96,0,21,0,Lincoln Park,Entire rental unit,Entire home/apt,10,1,4,4,266,2,1125,2,4,1125,1125,2,1125,0,17,35,55,314,2021/10/18,71,16,0,30_days,4.75,4.74,4.9,4.77,4.61,4.94,4.61,1,23,23,0,0,5.14,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,private,3.8987,0,10,1000,0.290322581,0.5,0.419354839,0.032258065,0,0,0.066666667,0.129032258,0.133333333,0.096774194,0,0,0.403225806,0.010752688,0.109677419,0.032258065
175511,837429,within an hour,1,1,0,2,0,Albany Park,Entire condominium (condo),Entire home/apt,2,1,1,1,81,28,365,28,28,1125,1125,28,1125,0,14,44,67,207,2021/10/19,35,2,0,30_days,4.82,4.86,4.94,4.94,4.97,4.54,4.8,1,2,2,0,0,0.32,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,private,10.4659,0,10,1000,0.419354839,0.1,0,0.709677419,1,1,1,1,0,0,0,0,0.17311828,0.903225806,0.666666667,0
189821,899757,within an hour,1,0.99,0,1,0,Logan Square,Entire rental unit,Entire home/apt,5,1,2,3,217,2,1125,2,3,1125,1125,2.2,1125,0,2,27,51,138,2021/10/18,557,48,7,30_days,4.95,4.97,4.92,4.97,4.95,4.9,4.89,1,1,1,0,0,5.85,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,private,6.895,1,10,1000,1,0.633333333,0.193548387,0,0,0,0.6,1,1,1,1,1,0.608960573,0,0.866666667,1
198135,85708,within a few hours,1,0.85,0,1,0,North Center,Private room in rental unit,Private room,1,1,1,1,35,3,120,3,3,120,120,3,120,0,0,0,0,0,2021/10/18,182,8,2,30_days,4.96,4.92,4.91,4.9,4.93,4.9,4.94,1,1,0,1,0,2.14,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,shared,9.3277,1,11,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207218,1019125,None,0,0,0,1,0,Pullman,Entire rental unit,Entire home/apt,3,1,1,1,90,2,1125,2,2,1125,1125,2,1125,0,1,26,56,331,2021/10/19,274,6,0,30_days,4.88,4.92,4.83,4.97,4.97,4.67,4.84,1,2,2,0,0,2.73,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,private,21.141,1,10,1000,0.419354839,0.7,0,0,0,0,0,0,0,0,0,0,0.37311828,0,0,0
